"ID"	"State"	"InitialState"
"48"	"LP26"	"S01"	"IS03"
"49"	"LP27"	"S01"	"IS03"
"50"	"LP41"	"S01"	"IS03"
"51"	"LP49"	"S01"	"IS03"
"52"	"LP54"	"S01"	"IS03"
"53"	"LP103"	"S01"	"IS03"
"54"	"LP110"	"S01"	"IS03"
"55"	"LP111"	"S01"	"IS03"
"56"	"LP113"	"S01"	"IS03"
"57"	"LP119"	"S01"	"IS03"
"1"	"LP01"	"S02"	"IS01"
"2"	"LP02"	"S02"	"IS01"
"3"	"LP05"	"S02"	"IS01"
"4"	"LP06"	"S02"	"IS01"
"5"	"LP07"	"S02"	"IS01"
"6"	"LP08"	"S02"	"IS01"
"7"	"LP10"	"S02"	"IS01"
"8"	"LP11"	"S02"	"IS01"
"9"	"LP13"	"S02"	"IS01"
"10"	"LP14"	"S02"	"IS01"
"11"	"LP30"	"S02"	"IS01"
"12"	"LP37"	"S02"	"IS01"
"13"	"LP50"	"S02"	"IS01"
"14"	"LP65"	"S02"	"IS01"
"15"	"LP112"	"S02"	"IS01"
"16"	"LP115"	"S02"	"IS01"
"17"	"LP116"	"S02"	"IS01"
"18"	"LP120"	"S02"	"IS01"
"19"	"LP121"	"S02"	"IS01"
"20"	"LP03"	"S03"	"IS02"
"21"	"LP04"	"S03"	"IS02"
"22"	"LP12"	"S03"	"IS02"
"23"	"LP15"	"S03"	"IS02"
"24"	"LP17"	"S03"	"IS02"
"25"	"LP19"	"S03"	"IS02"
"26"	"LP21"	"S03"	"IS02"
"27"	"LP24"	"S03"	"IS02"
"28"	"LP25"	"S03"	"IS02"
"29"	"LP28"	"S03"	"IS02"
"30"	"LP29"	"S03"	"IS02"
"31"	"LP31"	"S03"	"IS02"
"32"	"LP33"	"S03"	"IS02"
"33"	"LP44"	"S03"	"IS02"
"34"	"LP46"	"S03"	"IS02"
"35"	"LP47"	"S03"	"IS02"
"36"	"LP55"	"S03"	"IS02"
"37"	"LP60"	"S03"	"IS02"
"38"	"LP62"	"S03"	"IS02"
"39"	"LP63"	"S03"	"IS02"
"40"	"LP68"	"S03"	"IS02"
"41"	"LP69"	"S03"	"IS02"
"42"	"LP72"	"S03"	"IS02"
"43"	"LP79"	"S03"	"IS02"
"44"	"LP90"	"S03"	"IS02"
"45"	"LP114"	"S03"	"IS02"
"46"	"LP117"	"S03"	"IS02"
"47"	"LP118"	"S03"	"IS02"
